map:map10x10.json
player1:minmax
player2:mcts
F 5 7 | S swordsman
F 2 0 | W
F 4 6 | S swordsman
F 8 9 | F 7 5
F 6 4 | F 3 6
F 2 6 | F 0 3
F 9 6 | F 8 6
F 5 8 | S archer
F 6 8 | F 2 5
F 7 8 | F 1 5
F 4 4 | F 1 0
F 4 3 | S archer
F 0 2 | W
F 5 4 | F 2 1
F 2 2 | W
F 7 6 | F 0 5
S archer | W
F 8 8 | F 4 7
W | W
S archer | F 0 4
F 6 5 | W
F 3 3 | S swordsman
S swordsman | S swordsman
S swordsman | W
T 2 3 | S archer
S swordsman | W
W | S swordsman
S archer | S swordsman
S archer | W
S archer | S swordsman
S archer | S swordsman
S swordsman | W
S archer | S swordsman
W | W
S archer | S swordsman
S archer | S swordsman
S archer | W
S archer | S swordsman
S swordsman | S swordsman
S swordsman | W
S archer | S swordsman
S archer | S swordsman
W | W
S swordsman | W
S swordsman | W
W | W
S archer | S swordsman
S swordsman | S archer
S swordsman | S swordsman
S archer | W
S archer | W
S archer | S swordsman
S archer | S archer
S archer | S swordsman
S archer | S archer
W | W
S swordsman | W
S archer | S swordsman
W | S archer
S swordsman | S archer
W | S archer
S swordsman | S swordsman
S swordsman | W
S archer | W
W | S swordsman
W | S archer
S archer | W
S archer | S archer
W | S archer
W | S archer
S swordsman | S archer
S swordsman | S swordsman
S swordsman | S swordsman
W | S swordsman
W | S archer
S archer | W
S swordsman | S archer
S swordsman | S archer
S swordsman | W
S swordsman | S archer
S swordsman | S archer
S archer | S swordsman
S swordsman | S archer
S archer | S archer
W | S swordsman
S swordsman | W
W | S swordsman
S swordsman | W
S archer | S archer
S swordsman | S swordsman
S swordsman | S archer
S archer | S archer
