map:map10x10.json
player1:random_bot.py
player2:mcts
T 2 3 | S archer
F 6 1 | S archer
W | W
W | F 4 6
T 8 3 | F 3 3
S archer | F 2 0
T 2 1 | S archer
W | F 7 6
W | F 4 7
W | T 0 2
F 1 7 | W
S swordsman | W
F 1 6 | F 7 8
S archer | W
S archer | W
F 7 9 | F 6 5
S archer | W
T 3 6 | F 1 5
F 2 2 | W
F 5 5 | F 8 8
W | W
S archer | F 5 4
T 7 0 | W
S swordsman | F 6 8
F 3 2 | W
F 1 1 | S swordsman
S swordsman | S swordsman
S swordsman | W
F 0 9 | F 2 2
T 1 0 | F 5 7
T 8 7 | W
T 4 0 | F 2 5
T 8 0 | F 7 5
W | F 0 5
S archer | W
F 1 7 | F 4 4
T 0 9 | F 1 0
S swordsman | F 8 9
F 9 4 | F 3 6
