map:map15x15.json
player1:mcts
player2:minmax
F 6 7 | F 7 4
F 8 0 | F 10 6
F 1 14 | F 11 13
F 0 9 | F 1 11
F 10 4 | F 5 14
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | T 4 0
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
S swordsman | F 9 6
W | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
