map:map15x15.json
player1:minmax
player2:mcts
F 7 4 | F 5 10
F 11 10 | F 8 2
F 9 2 | F 6 7
F 3 5 | F 5 6
W | F 10 2
F 10 4 | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
F 4 10 | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
