map:map5x5.json
player1:minmax
player2:mcts
F 3 3 | S archer
F 3 0 | F 1 4
F 0 1 | S archer
F 3 1 | S archer
F 3 2 | S archer
S archer | F 1 1
F 4 3 | S swordsman
S archer | T 1 3
F 1 2 | W
S archer | W
S swordsman | W
S archer | W
W | W
W | W
S swordsman | W
S swordsman | W
S archer | S swordsman
W | S swordsman
W | W
W | W
W | W
S archer | W
W | S swordsman
W | W
S swordsman | W
S archer | W
W | W
S swordsman | W
W | W
S swordsman | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
S swordsman | W
W | W
