map:map5x5.json
player1:minmax
player2:mcts
F 1 3 | F 3 3
F 4 3 | T 3 2
F 0 1 | S archer
F 1 4 | F 3 1
F 3 0 | T 1 2
F 1 1 | W
S archer | S swordsman
S archer | S archer
W | W
S swordsman | W
W | S swordsman
S archer | W
S swordsman | W
S archer | S swordsman
S archer | W
W | W
S swordsman | W
W | S swordsman
W | W
S archer | W
S swordsman | W
S swordsman | W
S swordsman | S swordsman
S swordsman | W
W | W
S swordsman | W
W | W
S swordsman | W
W | W
S swordsman | S swordsman
W | W
W | W
S swordsman | W
