map:map5x5.json
player1:minmax
player2:mcts
F 1 2 | T 3 0
F 1 1 | T 1 3
F 3 1 | S swordsman
F 0 1 | F 1 4
F 3 2 | T 3 2
S archer | S swordsman
F 3 3 | T 3 3
F 3 2 | F 3 2
S archer | F 3 2
F 4 3 | F 4 3
F 4 3 | T 4 3
F 3 3 | S swordsman
F 4 3 | S archer
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S archer | S swordsman
S archer | W
W | W
S archer | W
W | W
W | W
S archer | S swordsman
S archer | W
W | W
S archer | W
S archer | S swordsman
S swordsman | W
W | W
S swordsman | W
W | W
S swordsman | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
