map:map5x5.json
player1:minmax
player2:mcts
F 3 2 | F 1 4
F 1 1 | F 1 2
F 3 3 | S swordsman
F 3 0 | F 3 0
F 1 3 | T 3 0
S archer | T 0 1
F 4 3 | W
F 3 1 | T 3 1
F 3 1 | W
S archer | S archer
S archer | W
S swordsman | S swordsman
W | W
W | S archer
S archer | S swordsman
S swordsman | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S archer | S swordsman
W | W
S archer | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
S swordsman | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
W | W
