map:map5x5.json
player1:minmax
player2:mcts
F 4 3 | T 1 2
F 0 1 | F 0 1
F 1 3 | F 1 1
F 3 1 | S swordsman
F 3 0 | F 3 0
F 3 2 | F 3 3
S archer | S swordsman
F 1 4 | W
F 0 1 | S archer
S archer | F 3 0
S swordsman | S swordsman
W | S archer
S swordsman | W
S swordsman | W
W | S archer
S swordsman | W
S swordsman | W
S archer | W
W | W
S archer | W
S swordsman | S swordsman
S swordsman | W
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | S swordsman
S archer | S archer
S swordsman | W
S archer | W
W | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
W | W
W | W
S swordsman | S swordsman
S swordsman | W
W | S swordsman
W | W
S swordsman | W
W | W
S swordsman | S swordsman
W | W
W | W
S swordsman | W
W | W
S swordsman | W
