map:map10x10.json
player1:random_bot.py
player2:mcts
S swordsman | S archer
T 8 3 | S swordsman
T 9 3 | F 6 8
T 0 9 | S archer
S swordsman | F 5 7
W | F 8 6
F 5 3 | F 7 5
F 6 1 | F 4 7
F 6 1 | F 5 8
T 8 3 | F 1 0
S swordsman | F 4 4
S swordsman | W
T 4 6 | F 0 5
F 5 8 | W
W | F 0 2
W | W
W | F 7 6
W | W
T 5 5 | S archer
S swordsman | W
S swordsman | F 9 6
W | W
T 0 9 | S swordsman
S swordsman | F 2 1
F 4 7 | S swordsman
F 4 7 | W
S archer | S swordsman
F 1 3 | F 2 6
S swordsman | S swordsman
W | W
T 7 1 | F 8 8
W | F 6 4
T 4 1 | S swordsman
F 2 2 | S swordsman
W | F 5 4
F 5 5 | F 1 5
W | W
S swordsman | F 3 6
F 1 2 | F 6 5
S swordsman | T 2 0
S swordsman | F 3 3
S archer | F 2 5
F 9 6 | F 0 4
F 1 4 | S archer
F 8 8 | S swordsman
F 5 2 | S archer
W | F 7 8
F 9 8 | S swordsman
F 8 4 | F 0 3
F 9 0 | F 2 3
S swordsman | S archer
W | S archer
W | S archer
T 9 0 | S archer
S archer | F 4 3
T 2 6 | T 8 9
T 8 7 | W
S swordsman | S swordsman
S archer | S archer
W | S swordsman
W | S swordsman
W | S swordsman
W | W
W | W
S archer | W
F 2 6 | S swordsman
S archer | W
F 6 5 | S archer
F 7 0 | S archer
