map:map10x10.json
player1:random_bot.py
player2:mcts
W | S archer
F 5 3 | F 8 9
F 8 8 | F 4 4
S archer | S archer
T 6 5 | F 2 2
F 1 1 | F 0 4
W | F 0 3
F 4 0 | S archer
W | F 4 7
T 3 0 | F 7 6
S archer | W
F 2 7 | F 5 4
S swordsman | W
W | F 7 5
F 3 6 | W
F 0 2 | S swordsman
T 5 4 | W
W | S swordsman
T 9 8 | F 6 4
S archer | W
T 7 2 | S swordsman
F 9 6 | W
F 1 1 | F 1 0
F 6 1 | W
W | S archer
S swordsman | W
F 7 5 | F 2 6
F 5 5 | F 2 1
S swordsman | W
W | S archer
F 2 6 | W
S archer | S archer
W | W
S archer | S archer
F 3 9 | W
T 3 2 | F 1 5
T 5 1 | F 2 0
W | S swordsman
T 0 9 | W
S archer | S archer
T 1 0 | F 7 8
W | W
W | F 2 3
W | F 0 5
F 2 9 | W
W | T 5 8
W | S archer
T 1 8 | F 5 7
T 8 6 | F 8 6
