map:map10x10.json
player1:random_bot.py
player2:mcts
T 7 8 | S archer
F 5 8 | S swordsman
S swordsman | F 2 0
W | F 0 3
S swordsman | S archer
F 4 2 | S archer
W | S archer
S archer | F 4 6
S archer | F 2 2
W | W
T 4 3 | W
T 3 6 | F 4 4
T 6 9 | W
W | W
W | F 8 6
T 3 5 | W
T 2 7 | W
W | S swordsman
S archer | W
S swordsman | S swordsman
F 0 2 | W
T 0 4 | W
F 0 6 | F 9 6
F 0 2 | W
F 4 9 | F 5 4
F 6 5 | W
W | F 0 4
T 1 5 | W
T 2 6 | F 5 7
S swordsman | W
