map:map15x15.json
player1:mcts
player2:minmax
F 13 6 | F 7 4
F 8 6 | F 13 14
F 8 4 | F 9 7
F 12 14 | F 2 11
F 10 2 | F 9 12
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | F 12 10
W | W
S swordsman | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
