map:map15x15.json
player1:mcts
player2:minmax
F 5 14 | F 7 4
F 2 14 | F 4 9
F 8 9 | F 11 12
F 10 2 | F 5 13
F 7 0 | F 1 11
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | T 9 4
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
